#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1712,"Demons Around","yatashigang",61,181,"gym phonk","Pop","Demons Around",2022-07-19,02:45,45,67,2,0,19,30,10,-7,F Minor,4,2023-12-26,7KXAgGAHEB1Ny89pL6eEA0,"yatashigang",4A,https://p.scdn.co/mp3-preview/df24af057185838f75963d9067da7ccb18d8c9ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519838dcf1fa525127bfd18cd6
1713,"DEAD OR ALIVE","OFFL1NX,Scythermane",35,115,"drift phonk, gym phonk","Electronic, Pop","DEAD OR ALIVE",2022-08-26,02:03,69,97,0,67,55,0,0,-4,C Major,4,2023-12-26,4SWGqW67ZHIAb1tSFsYABA,"OFFL1NX x Scythermane",8B,https://p.scdn.co/mp3-preview/216b74c8c3dddffaf40c0ec13c37abb22df21545?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851406a166bb87b0de6968acf39
1714,"PARANOIA","Mista Playa",49,169,"drift phonk, gym phonk, hyperpop","Electronic, Pop","PARANOIA",2022-08-26,01:56,42,100,0,90,62,10,30,-3,B Major,4,2023-12-26,5L5p2rCrrqXKLdK4mTXpAt,"Mista Playa",1B,https://p.scdn.co/mp3-preview/ddc17ddd9d7ff97216cb1426711d82faf5d36918?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec001cbfcc139a6192100329
1715,"See U","zetuv",54,145,"drift phonk","Electronic","See U",2022-08-08,02:50,56,65,47,28,43,10,10,-6,C♯/D♭ Minor,3,2023-12-26,54vyxEzMvLexzEgEBzIUNQ,"zetuv",12A,https://p.scdn.co/mp3-preview/c431c4622c62d8947e358c5202a2ce886d681421?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517732264e4968f0d7b90f420a
1716,"IMMACULATE","VISXGE",63,118,"gym phonk","Pop","IMMACULATE",2022-05-22,02:20,78,39,0,0,34,30,60,-8,G Major,4,2023-12-26,5Txeau6Fi96zS4THXUJ4w7,"VISXGE",9B,https://p.scdn.co/mp3-preview/b1bb7e3e072b878061f5549dba5d397fbcbd92e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b26e4117778b03d1a76a43a3
1717,"THUNDERSTRIKE","ditro",33,120,"drift phonk, memphis phonk","Electronic","THUNDERSTRIKE",2022-09-23,03:04,74,94,20,0,75,20,30,0,F#/G♭ Major,4,2023-12-26,5D8MCa8Q05Urj343Hci4eq,"ditro",2B,https://p.scdn.co/mp3-preview/b466e6baf4d0eee94f9562e9ab0efa9a89460bec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519508ce4ec564facb926ab7ec
1718,"bloody!","Sadfriendd,MUPP,fkbambam",43,120,"aesthetic rap, gym phonk, hyperpop, drift phonk","Hip Hop, Electronic, Pop","bloody!",2022-08-19,01:53,71,62,3,0,67,10,10,-10,B Major,4,2023-12-26,4ZBEfyphqFsSkjWP7y2L6E,"Sadfriendd x MUPP x fkbambam",1B,https://p.scdn.co/mp3-preview/c4ef824cf18bd004364b40a76e7fdfd2dd2a30bc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510ae0c98ab3ef2975014f6faa
1719,"Twilight","GRAVECHILL",73,124,"chill phonk, drift phonk","Electronic","Twilight",2021-05-30,01:56,89,88,1,80,79,0,10,-4,E Major,4,2023-12-26,1Y5MJnYsIi3Qlifvss4jPI,"GRAVECHILL",12B,https://p.scdn.co/mp3-preview/47a099d560a24dfbf84fd0f672f0889053869f08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ac9ba207ecbc00f9380b70a5
1720,"Mecbursun","Sertab Erener",63,88,"turkish jazz, turkish pop, turkish singer-songwriter","Jazz, Pop","Lâ'l",1994-10-14,03:53,68,43,37,0,92,10,0,-14,A#/B♭ Minor,4,2023-12-26,30P0bhT0Ebfl9Bxua0mzYr,"TEMPA TÜM ELEKTRİKLİ",3A,https://p.scdn.co/mp3-preview/64b748cdcb78298941e69aa0d3da130619163bdb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514a813eccafa91999a7cf0548
1721,"Trankobuskas - Remix","Reckol",60,100,"turkce drill","","Trankobuskas (Remix)",2021-06-23,02:02,73,75,31,0,25,0,40,-6,E Minor,4,2023-12-26,3Zy6uq4X0w6O8UMwJbzv9o,"Reckol Music",9A,https://p.scdn.co/mp3-preview/d9051b6bd69081362b59fc6771ffd654e1c464d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851639ace3d0b5e905d857dbf95
1722,"Swaggin' at the Partment","Ghostface Playa",7,93,"drift phonk","Electronic","High As Fuck",2020-04-06,02:04,53,95,1,87,41,0,40,-5,C♯/D♭ Minor,4,2023-12-26,0eCwAiq4qzQJJgQVaqUaCN,"1607475 Records DK",12A,,https://i.scdn.co/image/ab67616d0000485119fb4a1d5d0fd56153966642
1723,"GODZILLA","Oscar Webb,Hxtta",1,120,"ukrainian phonk","","GODZILLA",2022-07-29,02:30,77,97,2,20,51,0,10,-3,C Major,4,2023-12-26,04PQ6RwQZWdbdT72qdcsoA,"Hxtta x Oscar Webb",8B,,https://i.scdn.co/image/ab67616d000048516cfe4dd1eae6b91ed4e29d66
1724,"SHOOTERS","FORGOTTENAGE",57,120,"drift phonk","Electronic","SHOOTERS",2022-07-29,02:11,81,88,14,1,48,0,0,-5,C♯/D♭ Minor,4,2023-12-26,5hJewESdjToYG75xQGXyJy,"FORGOTTENAGE",12A,https://p.scdn.co/mp3-preview/b69f418721e0ec94f29fbcda4dced9d0ea732305?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851739a42c640497c171f23bcb6
1725,"HOLY SMOKES!","SXMPRA",0,150,"drift phonk","Electronic","HOLY SMOKES!",2021-06-04,02:08,77,95,0,11,24,10,10,-8,D Major,4,2023-12-26,5JzYxaq9mgcaO4H7c6QF1q,"HERE FOREVER",10B,,https://i.scdn.co/image/ab67616d000048512a216f2814c2a36a367c7ce9
1726,"NIGHTMARE","SXMPRA,Dozy Doe",0,173,"drift phonk, ","Electronic","NIGHTMARE",2021-07-16,02:19,57,80,1,1,52,30,30,-6,C♯/D♭ Major,4,2023-12-26,1VuZPsM9WTOQiPLnx7GZU0,"HERE FOREVER",3B,,https://i.scdn.co/image/ab67616d000048518e93d79b3c5e20d9fa21b13c
