#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
128,"Am I Evil?","Diamond Head",0,193,"hard rock, metal, nwobhm, speed metal, thrash metal","Rock, Metal","Lightning To The Nations (The White Album) [Remastered 2011]",1980-10-03,07:40,22,95,0,0,45,30,10,-7,E Major,4,2024-01-05,7og9p3oxMOILD2hth9uz7t,"UMC (Universal Music Catalogue)",12B,,https://i.scdn.co/image/ab67616d0000485115626fe34e1fbeb9033fa1fa
129,"Murder In My Mind","Kordhell",84,120,"drift phonk","Electronic","Murder In My Mind",2022-01-21,02:25,71,97,1,0,57,10,10,-1,A#/B♭ Major,4,2024-01-05,6qyS9qBy0mEk3qYaH8mPss,"Kordhell",6B,https://p.scdn.co/mp3-preview/ec3b94db31d9fb9821cfea0f7a4cdc9d2a85e969?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511440ffaa43c53d65719e0150
130,"Enter Sandman","Metallica",82,123,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","Metallica",1991-08-12,05:31,58,83,0,1,60,0,0,-9,F#/G♭ Minor,4,2024-01-05,5sICkBXVmaCQk5aISGR3x1,"Blackened Recordings / Universal Music",11A,,https://i.scdn.co/image/ab67616d00004851cf84c5b276431b473e924802
131,"I CAN'T STOP ME","TWICE",73,150,"k-pop, k-pop girl group, pop","Pop","Eyes Wide Open",2020-10-26,03:25,66,88,12,0,77,10,40,-4,A#/B♭ Minor,4,2024-01-05,37ZtpRBkHcaq6hHy0X98zn,"Republic Records - TWICE",3A,https://p.scdn.co/mp3-preview/db4e054b580f49bade783c8bd13160eeba311e78?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516570fd05bcff5edcb16e617d
132,"Black Beatles","Rae Sremmurd,Gucci Mane",77,146,"melodic rap, mississippi hip hop, pop rap, rap, trap, atl hip hop, dirty south rap, hip hop, southern hip hop","Hip Hop","SremmLife 2 (Deluxe)",2016-08-12,04:51,79,63,14,0,36,0,10,-6,C Major,4,2024-01-05,6fujklziTHa8uoM5OQSfIo,"Mike WiLL Made-It",8B,,https://i.scdn.co/image/ab67616d00004851881fb62d913fe712fc2e1c95
133,"Jet Lag (feat. Young Scooter)","Future,Juice WRLD,Young Scooter",59,125,"atl hip hop, hip hop, rap, southern hip hop, trap, chicago rap, melodic rap, atl trap, drill","Hip Hop","Future & Juice WRLD Present... WRLD ON DRUGS",2018-10-19,04:31,81,46,27,0,49,10,10,-7,E Minor,4,2024-01-05,2OsDoAzo5SGq10qwmKSQBv,"Epic/Freebandz/Grade A/Interscope",9A,https://p.scdn.co/mp3-preview/a910af820124800c37791d5976a0d2864516eaca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851644c510e8d4c02ae69028297
134,"İçimizdeki Canavarlar","Adamlar",45,76,"turkish rock","Rock","Harekete kimse mâni olamaz.",2021-11-19,04:39,60,64,10,0,49,0,20,-12,C Major,4,2024-01-05,1xQD0WLGqzr7sbkp3VR5rY,"Adamlar",8B,https://p.scdn.co/mp3-preview/418259d237f2b2a649a254a59abd55b9e56f3cee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485103cffc8bebe2431addd866c8
135,"edamame","bbno$,Rich Brian",65,106,"canadian hip hop, dark trap, meme rap, indonesian hip hop","Hip Hop","edamame",2021-07-24,02:13,82,85,2,0,68,10,0,-5,E Minor,4,2024-01-05,1uMHCAyGmHqyygoNRuo7MV,"bbno$, Rich Brian appears courtesy of 88Rising",9A,,https://i.scdn.co/image/ab67616d00004851545a202ab06885cf2c6621ca
136,"Shot in the Dark","Ozzy Osbourne",64,124,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock","Rock, Metal","The Ultimate Sin",1986-02-22,04:16,58,79,1,0,62,0,10,-7,F#/G♭ Major,3,2024-01-05,31dqpLUModJWNbxrXu6TWd,"Epic",2B,https://p.scdn.co/mp3-preview/d72cbb4f67de730a56d496dc75c92f6e3e834dee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c8dec214036a4cfb3dcf143a
137,"Use The Man - Remastered 2004 / Remixed","Megadeth",40,75,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Cryptic Writings (Expanded Edition - Remastered)",1997-06-17,04:03,21,86,0,0,47,10,30,-5,C Major,4,2024-01-05,5VANqRRzSEkEuAi4oO9yag,"Capitol Records",8B,,https://i.scdn.co/image/ab67616d0000485176eff96fd2e3f9df3e71b276
